date,close,volume,open,high,low
2/28/2018,52.58,"12,864,366",53.2,53.48,52.34
2/27/2018,52.58,12690170,53.24,53.48,52.34
2/26/2018,52.9,14085960,52.98,53.44,52.665
2/23/2018,52.97,16167410,52.35,53,52.2
2/22/2018,52.13,15198100,51.94,52.16,51.465
2/21/2018,51.72,11696410,51.06,51.81,51.03
2/20/2018,51.5,13828950,51.56,51.79,51.22
2/16/2018,51.29,18324510,49.9,51.49,49.85
2/20/2018,50.32,16395480,49.33,50.4,49.155
2/16/2018,49.71,16528270,50.96,50.96,49.415
2/28/2018,50.67,14713960,51.06,51.5,50.67
2/27/2018,50.73,14339360,51.07,51.4,50.535
2/26/2018,51.17,12817580,50.59,51.26,50.5
2/23/2018,50.5,8866632,49.79,50.57,49.62
2/22/2018,49.59,9364594,49.59,50.055,49.405
2/21/2018,49.43,12920240,49.87,50.34,49.43
2/20/2018,49.89,14144210,50.2,50.31,49.655
2/16/2018,50.71,11098600,50.55,51.14,50.49
2/15/2018,50.64,13827120,49.7,50.685,49.43
2/14/2018,49.45,14262950,48.19,49.52,48.14
2/13/2018,48.49,12363240,48.01,48.68,47.77
2/12/2018,48.15,16228450,48.22,48.4868,47.72
1/30/2018,47.73,23168700,47.58,48.1504,45.92
1/29/2018,46.84,20720960,49.09,49.12,46.81
1/26/2018,48.87,14934060,49.2,49.85,48.82
1/25/2018,49.4,25860560,47.33,49.51,46.8101
1/24/2018,48.09,19542550,50.04,50.7,48.06
1/23/2018,50.13,17130230,51.25,51.41,50.04
1/31/2018,51.63,11654840,51.36,51.98,51.26
1/31/2018,51.59,16806830,50.86,51.845,50.86
1/30/2018,50.96,16735260,51.74,51.99,50.745
1/29/2018,51.94,12222630,52.67,52.79,51.88
1/26/2018,52.75,13897740,51.86,52.75,51.76
1/25/2018,51.6,13896650,51.54,52.045,51.54
1/24/2018,51.45,17238760,51.36,52,51.21
1/23/2018,51.12,14072660,50.75,51.27,50.57
1/22/2018,50.71,16568800,50.43,50.74,50.27
1/19/2018,50.58,13996850,50.5,50.6,50.27
1/18/2018,50.23,15968350,50.19,50.68,50.1
1/17/2018,50.27,23142190,49.91,50.29,49.85
1/16/2018,49.59,17119680,49.85,50.06,49.44
1/12/2018,49.51,15970000,49.18,49.825,49.06
1/11/2018,48.95,11686970,48.87,49.02,48.44
1/10/2018,48.8,13475240,48.86,49.27,48.58
12/29/2017,49.06,14153660,49.25,49.36,48.92
12/28/2017,48.98,15067600,48.3,49.07,47.94
12/27/2017,48.47,14495990,48.42,48.63,48.28
12/26/2017,48.18,19803950,47.99,48.19,47.715
12/22/2017,47.71,24152140,47.53,48.07,47.44
12/21/2017,46.63,25366710,47.57,47.8011,46.17
12/20/2017,47.28,9735495,47.53,47.88,47.28
12/28/2017,47.52,7777596,47.3,47.55,47.3
12/27/2017,47.38,8130278,47.25,47.47,47.15
12/26/2017,47.43,7649987,47.37,47.58,47.25
12/22/2017,47.36,11151070,47.17,47.4,47.095
12/21/2017,47.28,18394700,48.11,48.11,47.23
12/20/2017,47.9,11424710,47.88,48.05,47.79
12/19/2017,47.82,28316620,47.96,48.35,47.74
12/18/2017,47.71,25156380,48.43,48.85,47.68
12/15/2017,48.3,75169050,48.48,48.48,47
12/14/2017,50.19,21930100,50.14,50.4,49.94
12/13/2017,50.05,16293580,50.33,50.51,50.01
